Day,Time,Hours,Category,Project,Sub Project
1/1/2023,N/A,2.5,3rd+ Draft,Sorceress,2nd Draft
1/2/2023,N/A,3.25,3rd+ Draft,Sorceress,2nd Draft
1/6/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
1/7/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
1/8/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
1/13/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
1/14/2023,N/A,1.5,Free Write,Katarin,Pre-1st draft experiments
1/15/2023,N/A,1,Free Write,Katarin,Pre-1st draft experiments
1/21/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
1/22/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
1/22/2023,N/A,0.5,Free Write,Katarin,Pre-1st draft experiments
1/28/2023,N/A,1,3rd+ Draft,Sorceress,2nd Draft
1/29/2023,N/A,2.25,3rd+ Draft,Sorceress,2nd Draft
1/30/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/1/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/3/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/4/2023,N/A,1.25,3rd+ Draft,Sorceress,2nd Draft
2/5/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
2/10/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/11/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/12/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
2/13/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/14/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/15/2023,N/A,0.25,3rd+ Draft,Sorceress,2nd Draft
2/17/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/18/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/19/2023,N/A,3,3rd+ Draft,Sorceress,2nd Draft
2/20/2023,N/A,1.25,3rd+ Draft,Sorceress,2nd Draft
2/24/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
2/25/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
2/26/2023,N/A,1,3rd+ Draft,Sorceress,2nd Draft
2/26/2023,N/A,0.5,Querying,Sorceress,
3/5/2023,N/A,2,3rd+ Draft,Sorceress,2nd Draft
3/5/2023,N/A,1,Querying,Sorceress,
3/6/2023,N/A,0.5,Querying,Sorceress,
3/7/2023,N/A,0.25,Querying,Sorceress,
3/10/2023,N/A,0.5,3rd+ Draft,Sorceress,2nd Draft
3/10/2023,N/A,1,Free Write,Katarin,Pre-1st draft experiments
3/10/2023,N/A,1,Querying,Sorceress,
3/11/2023,N/A,1.5,3rd+ Draft,Sorceress,2nd Draft
3/11/2023,N/A,0.5,Querying,Sorceress,
3/12/2023,N/A,1,Querying,Sorceress,
