Day,Hours,Category,Project,Sub Project,Timeline category
7/14/2024,2,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/15/2024,0.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/16/2024,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/17/2024,2,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/18/2024,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/19/2024,6,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/20/2024,7,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/21/2024,4.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/22/2024,2,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/23/2024,0.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/24/2024,2.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/25/2024,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/26/2024,1,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/27/2024,2.75,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/28/2024,3,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/29/2024,0.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/30/2024,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
7/31/2024,1,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/1/2024,2.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/2/2024,1,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/3/2024,1.75,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/4/2024,1,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/5/2024,3.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/6/2024,1.75,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/7/2024,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/8/2024,1.5,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/9/2024,1.25,3rd+ Draft,Sorceress,5th Draft - WC reduction,2 Sorceress 5th
8/10/2024,6.25,Querying,Sorceress,,2 Sorceress 5th
8/12/2024,4,Querying,Sorceress,,2 Sorceress 5th
8/13/2024,0.75,Querying,Sorceress,,2 Sorceress 5th
8/15/2024,1.5,Querying,Sorceress,,2 Sorceress 5th
8/16/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
8/17/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
8/23/2024,1.5,Querying,Sorceress,,2 Sorceress 5th
8/26/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
8/28/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
8/29/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
9/1/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/2/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/10/2024,1,Querying,Sorceress,,2 Sorceress 5th
9/11/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/13/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/17/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
9/18/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/19/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
9/21/2024,0.25,Querying,Sorceress,,2 Sorceress 5th
9/26/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
9/28/2024,0.5,Querying,Sorceress,,2 Sorceress 5th
1/2/2024,1,Querying,Sorceress,,4 Sorceress 4th - R & R
1/3/2024,0.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/3/2024,1.5,Querying,Sorceress,,4 Sorceress 4th - R & R
1/3/2024,0.25,Querying,Sorceress,,4 Sorceress 4th - R & R
1/4/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/5/2024,4.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/6/2024,3.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/7/2024,5.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/8/2024,1.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/9/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/10/2024,2,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/11/2024,0.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/12/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/13/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/14/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/15/2024,5.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/16/2024,2,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/17/2024,1.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/18/2024,0.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/19/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/20/2024,4.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/21/2024,5.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/22/2024,1.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/23/2024,2.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/24/2024,0.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/25/2024,0.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/26/2024,4.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/27/2024,3.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/28/2024,4.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/29/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/30/2024,2.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
1/31/2024,2.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/1/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/2/2024,3,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/3/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/4/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/5/2024,3.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/6/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/7/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/8/2024,0.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/9/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/10/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/11/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/12/2024,0.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/13/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/14/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/15/2024,0.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/16/2024,1,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/17/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/18/2024,3,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/19/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/20/2024,1.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/21/2024,1.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/22/2024,0.5,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/23/2024,1.75,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
2/24/2024,4.25,3rd+ Draft,Sorceress,4th Draft - R&R,4 Sorceress 4th - R & R
12/9/2023,0.5,3rd+ Draft,Sorceress,3rd Draft,6 Sorceress 3rd
12/10/2023,0.75,3rd+ Draft,Sorceress,3rd Draft,6 Sorceress 3rd
12/11/2023,0.5,3rd+ Draft,Sorceress,3rd Draft,6 Sorceress 3rd
12/12/2023,0.25,3rd+ Draft,Sorceress,3rd Draft,6 Sorceress 3rd
12/13/2023,1,3rd+ Draft,Sorceress,3rd Draft,6 Sorceress 3rd
